->;section;tareador_instrumented_section;;;;0
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[0,8);stores;
    us;37;loads;;stores;[4,8)
    us;45;loads;[0,4);stores;[0,4)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;245
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;254
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[0,8);stores;
    us;37;loads;;stores;[8,12)
    us;45;loads;[4,8);stores;[4,8)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;408
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;417
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[0,8);stores;
    us;37;loads;;stores;[12,16)
    us;45;loads;[4,8);stores;[4,8)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
